Data;Combustivel;PostoId;Posto;Marca;TipoPosto;Morada;Municipio;Preco;DataAtualizacao;Latitude;Longitude
2026-09-22;Gasolina simples 95;69184;Cepsa Valongo;CEPSA;Outro;Rua Fonseca Dias, Lugar do Espinheiro;Valongo;2,123;2026-09-21 00:00;41,184;-8,48518
2026-09-22;Gasolina simples 95;95269;Gondomar I;CEPSA;Outro;AV. CARVALHA, 662, FANZERES;Gondomar;2,123;2026-09-21 00:00;41,165577;-8,544066
2026-09-22;Gasolina simples 95;66242;CEPSA SOBRADO;CEPSA;Outro;EN 209 (Rua São João Sobrado nº 3300);Valongo;2,143;2026-09-21 06:30;41,21956;-8,459941
2026-09-22;Gasolina simples 95;94478;São Pedro da Cova;MOEVE;Outro;Estrada Nacional 219 km 9.7;Gondomar;2,143;2026-09-21 11:20;41,162334;-8,507628
2026-09-22;Gasolina simples 95;65787;GALP Ermesinde - Continente;GALP;Outro;Rua das Macieiras 330;Valongo;2,149;2026-09-22 03:55;41,20189;-8,54537
2026-09-22;Gasolina simples 95;65800;AUTO MOURA - Posto GALP Portagens Valongo;GALP;Outro;Rua Vale de Achas;Valongo;2,159;2026-09-21 09:30;41,19226;-8,50446
2026-09-22;Gasolina simples 95;66399;PA Galp Continente Valongo;GALP;Área comercial (Hipermercados);Rua Julião Sarmento;Valongo;2,159;2026-09-21 09:30;41,1973;-8,4889
2026-09-22;Gasolina simples 95;66734;E.S. VALONGO;REPSOL;Outro;Rua Fonsecas Dias nº 291;Valongo;2,159;2026-09-21 09:25;41,1857638888889;-8,48685555555556
2026-09-22;Gasolina simples 95;67042;Teixeira & Martins, Automóveis, Lda.;GALP;Outro;Rua D. Afonso Henriques (Km 1,8);Gondomar;2,159;2026-09-21 11:10;41,19626;-8,57622
2026-09-22;Gasolina simples 95;67064;GALP Alto de Valongo;GALP;Outro;Av. das Descobertas nº 34;Valongo;2,159;2026-09-22 04:10;41,1943;-8,51689
2026-09-22;Gasolina simples 95;67449;PRIO ERMESINDE Sta. Rita;PRIO;Outro;Avenida José Joaquim Ribeiro Teles, nº 280;Valongo;2,164;2026-09-21 00:00;41,20849;-8,54186
2026-09-22;Gasolina simples 95;92079;PRIO Alfena ZI;PRIO;Outro;Rua das Passarias nº 721;Valongo;2,164;2026-09-22 00:30;41,23095;-8,537669
2026-09-22;Gasolina simples 95;93101;P33 - PRIO Baguim do Monte;PRIO;Outro;Rua da Nossa Senhora do Amparo 1053, Baguim do Monte;Gondomar;2,164;2026-09-22 00:30;41,181282;-8,535296
